		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
32	565608	-1	524.9385901	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	504.7125519	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	302.3998202	-1	-1	-1	-1	-1	-1	-1	340.1172176	-1	-1	385.6376415	-1	-1	-1	228.2198922	-1
33	567500	313.6952012	-1	-1	411.5479484	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	733.7123882	-1	-1	-1	-1	517.9625564	-1	567.43556	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	350.6708172
34	565531	-1	477.2548058	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	550.5182535	-1	-1	-1	-1	152.3656503	-1	-1	-1	-1	-1	340.1172176	-1	-1	-1	-1	-1	-1	-1	-1	506.3233905	-1
35	565562	-1	-1	-1	-1	498.5561007	450.1330491	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	268.8877236	-1	-1	-1	-1	-1	530.1591971	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
36	32788	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	364.531195	283.3382272	136.6867473	-1	-1	-1	-1	-1	-1	461.5916746	-1	-1	-1	220.1735841	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
37	567497	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	552.232405	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	439.0067506	-1	-1	-1	-1	-1	-1	385.6376415	-1	-1	-1	-1	-1	-1	-1	-1	360.6947668	-1
38	566316	-1	-1	-1	-1	-1	-1	390.4123511	-1	421.3981435	312.0409326	406.7715392	-1	-1	-1	216.1296996	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
39	568056	-1	-1	344.3123946	-1	-1	-1	410.0771006	-1	-1	473.9878723	-1	-1	-1	-1	-1	-1	-1	439.3558732	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
40	565964	-1	-1	-1	304.230043	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	661.1780846	-1	-1	-1	-1	-1	-1	253.3705841	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
41	567618	-1	464.0281225	-1	-1	514.8869922	-1	-1	-1	-1	-1	-1	-1	-1	281.6070704	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	532.7056879	514.5179749	-1	-1	-1	-1	-1	228.2198922	-1	506.3233905	-1	-1	360.6947668	-1	-1	-1	-1	-1
42	565898	465.2332765	-1	-1	407.1607003	591.8393186	574.9925199	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	507.9594926	-1	317.8842909	-1	350.6708172	-1	-1	-1	-1	-1	-1	-1	-1	-1
