		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
12	565610	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	415.0307836	99999	320.7134425	99999	433.0546552	99999	99999	99999	99999	99999	99999	99999	328.3234382	497.3360556	99999	99999	452.2519624	99999	99999	99999	99999	99999	99999	99999	99999	283.3382272	99999	99999	99999	99999	99999	99999
13	565859	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	500.1192756	320.7134425	99999	99999	99999	99999	99999	99999	99999	438.0938998	99999	648.1918135	99999	288.049136	99999	99999	521.4302959	99999	99999	99999	99999	99999	99999	99999	99999	136.6867473	99999	99999	99999	99999	99999	99999
14	565630	99999	459.9402549	99999	99999	315.8408511	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	477.2569034	99999	99999	528.2188385	99999	99999	99999	504.7125519	99999	99999	99999	99999	552.232405	99999	99999	99999	281.6070704	99999
15	565559	99999	99999	99999	99999	99999	99999	407.0628527	99999	296.9245931	484.185667	389.0061825	433.0546552	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	463.2331968	99999	99999	99999	99999	99999	99999	577.1837198	99999	99999	99999	99999	99999	99999	99999	216.1296996	99999	99999	99999	99999
16	565845	99999	99999	99999	99999	99999	403.4334155	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	488.2373704	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
17	565527	99999	99999	457.225921	99999	99999	99999	99999	510.335702	99999	99999	99999	99999	99999	99999	99999	99999	99999	459.4264892	295.7481085	99999	99999	99999	99999	99999	99999	99999	99999	597.1635631	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
18	565633	99999	99999	552.2797715	99999	99999	99999	374.6192304	316.7506483	431.446171	99999	99999	99999	99999	99999	99999	99999	459.4264892	99999	582.8364661	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	541.0961578	99999	99999	99999	99999	99999	99999	99999	99999	439.3558732	99999	99999	99999
19	565496	99999	503.8077613	99999	99999	99999	99999	99999	449.1874012	99999	99999	99999	99999	99999	99999	99999	99999	295.7481085	582.8364661	99999	99999	442.1213473	99999	99999	99999	99999	99999	99999	311.0634027	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
20	565865	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	438.0938998	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	303.8080286	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	461.5916746	99999	99999	99999	99999	99999	99999
21	565773	99999	352.5686022	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	442.1213473	99999	99999	99999	99999	99999	99999	99999	99999	511.2218485	99999	99999	99999	99999	99999	550.5182535	99999	99999	99999	99999	99999	99999	99999	99999
22	567531	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	648.1918135	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	407.9118135	99999	99999	99999	99999	99999	733.7123882	99999	99999	99999	99999	99999	99999	661.1780846	99999	99999
23	565516	548.7354807	99999	99999	99999	99999	99999	99999	99999	449.6854295	99999	99999	328.3234382	99999	99999	463.2331968	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	428.7329733	99999	99999	338.1301956	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
24	565393	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	403.3135371	497.3360556	288.049136	99999	99999	99999	99999	99999	99999	303.8080286	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	220.1735841	99999	99999	99999	99999	99999	99999
25	565753	99999	99999	99999	99999	278.0395014	99999	99999	99999	99999	99999	99999	99999	99999	477.2569034	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	456.9191092	99999	99999	99999	268.8877236	99999	439.0067506	99999	99999	99999	532.7056879	99999
26	33566	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	302.3998202	99999	152.3656503	99999	99999	99999	99999	99999	99999	514.5179749	99999
27	566074	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	452.2519624	521.4302959	99999	99999	99999	99999	99999	99999	99999	99999	407.9118135	428.7329733	99999	99999	99999	99999	99999	99999	99999	99999	99999	517.9625564	99999	99999	99999	99999	99999	99999	99999	99999	99999
28	565648	820.2553494	334.4934762	99999	99999	99999	99999	99999	479.3149769	99999	99999	99999	99999	99999	528.2188385	99999	99999	597.1635631	99999	311.0634027	99999	511.2218485	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
29	567526	99999	99999	99999	156.8037184	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	488.2373704	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	567.43556	99999	99999	99999	99999	99999	99999	253.3705841	99999	507.9594926
30	565551	437.3793916	99999	99999	99999	99999	99999	595.1510941	416.2660333	364.544149	99999	99999	99999	99999	99999	577.1837198	99999	99999	541.0961578	99999	99999	99999	99999	338.1301956	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
31	565631	99999	99999	99999	99999	309.1910649	440.4898131	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	456.9191092	99999	99999	99999	99999	99999	99999	99999	99999	99999	530.1591971	99999	99999	99999	99999	99999	99999	317.8842909
32	565608	99999	524.9385901	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	504.7125519	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	302.3998202	99999	99999	99999	99999	99999	99999	99999	340.1172176	99999	99999	385.6376415	99999	99999	99999	228.2198922	99999
33	567500	313.6952012	99999	99999	411.5479484	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	733.7123882	99999	99999	99999	99999	517.9625564	99999	567.43556	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	350.6708172
34	565531	99999	477.2548058	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	550.5182535	99999	99999	99999	99999	152.3656503	99999	99999	99999	99999	99999	340.1172176	99999	99999	99999	99999	99999	99999	99999	99999	506.3233905	99999
35	565562	99999	99999	99999	99999	498.5561007	450.1330491	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	268.8877236	99999	99999	99999	99999	99999	530.1591971	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
36	32788	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	364.531195	283.3382272	136.6867473	99999	99999	99999	99999	99999	99999	461.5916746	99999	99999	99999	220.1735841	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
37	567497	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	552.232405	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	439.0067506	99999	99999	99999	99999	99999	99999	385.6376415	99999	99999	99999	99999	99999	99999	99999	99999	360.6947668	99999
38	566316	99999	99999	99999	99999	99999	99999	390.4123511	99999	421.3981435	312.0409326	406.7715392	99999	99999	99999	216.1296996	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
39	568056	99999	99999	344.3123946	99999	99999	99999	410.0771006	99999	99999	473.9878723	99999	99999	99999	99999	99999	99999	99999	439.3558732	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
40	565964	99999	99999	99999	304.230043	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	661.1780846	99999	99999	99999	99999	99999	99999	253.3705841	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
41	567618	99999	464.0281225	99999	99999	514.8869922	99999	99999	99999	99999	99999	99999	99999	99999	281.6070704	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	532.7056879	514.5179749	99999	99999	99999	99999	99999	228.2198922	99999	506.3233905	99999	99999	360.6947668	99999	99999	99999	99999	99999
42	565898	465.2332765	99999	99999	407.1607003	591.8393186	574.9925199	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	507.9594926	99999	317.8842909	99999	350.6708172	99999	99999	99999	99999	99999	99999	99999	99999	99999
